model,case,scenario,parameter,NRMSE,Calibration Error,Posterior Contraction
DDM,fixed_regressed,BayesGPT_ModelClass,$z$ -- $u_1$ | $c_{1}$,11.670256385900077,62.32394366197215,-1.9320696476479142
DDM,fixed_regressed,BayesGPT_ModelClass,$v$ -- $u_2$ | $c_{1}$,6.980040490810726,-77.8985507246379,-5.036170759160412
DDM,fixed_regressed,BayesGPT_ModelClass,$a$ -- $u_2$ | $c_{1}$,11.987226558988887,4.508196721311382,-0.8824475978705048
DDM,fixed_regressed,BayesGPT_ModelClass,$z$ -- $u_2$ | $c_{1}$,11.121673622519825,85.116279069768,-2.3999657152263274
DDM,interaction,BayesGPT_Family,$v$,11.916933812715637,47.031963470319745,-1.2074242914930042
DDM,interaction,BayesGPT_Family,$a$,19.034410260751617,-7.860262008733709,-1.9226960350117057
DDM,interaction,BayesGPT_Family,$z$,19.53144128103273,-8.484848484848067,-1.6183035328861135
DDM,interaction,BayesGPT_Family,$\tau$,24.776087647452556,6.481481481481615,-2.1075990790028625
DDM,interaction,BayesGPT_Family,$s_v$,5.3975883930061945,-29.44444444444407,-14.21768963606195
DDM,interaction,BayesGPT_Family,$s_\tau$,45.11890555993399,-74.7967479674798,-4.019749294147486
DDM,interaction,BayesGPT_Family,$v$ -- $u_1$ | $c_{1}$,11.19322948750184,1.0416666666664958,-5.410978273823543
DDM,interaction,BayesGPT_Family,$a$ -- $u_1$ | $c_{1}$,16.558651960116674,-15.533980582524697,-1.5544209136943434
DDM,interaction,BayesGPT_Family,$z$ -- $u_1$ | $c_{1}$,19.718052131772506,107.35294117647057,-2.27295996876564
DDM,interaction,BayesGPT_Family,$\tau$ -- $u_1$ | $c_{1}$,22.24217542169609,-82.56302521008409,-0.050112777501055375
DDM,interaction,BayesGPT_Family,$s_v$ -- $u_1$ | $c_{1}$,7.318414790276633,1.1904761904759953,-36.986374155562785
DDM,interaction,BayesGPT_Family,$v$ -- $u_2$ | $c_{1}$,18.722231517933764,82.82828282828252,-6.736172306788702
DDM,interaction,BayesGPT_Family,$a$ -- $u_2$ | $c_{1}$,21.434542148253453,-58.045977011494294,-1.5544953665873762
DDM,interaction,BayesGPT_Family,$z$ -- $u_2$ | $c_{1}$,29.880360348708802,48.6631016042781,-2.5117183787271125
DDM,interaction,BayesGPT_Family,$\tau$ -- $u_2$ | $c_{1}$,23.812705636321525,-30.97826086956531,-0.22410158265862956
DDM,interaction,BayesGPT_Family,$v$ -- $u_1:u_2$ | $c_{1}$,17.692648175856647,-43.4210526315795,-15.819789335516653
